player_name,number,position,club,league,played,goals,assists,yellow_cards,second_yellows,red_cards,conceded,clean_sheets,minutes
Mikel Oyarzabal,#10,Left Winger,Real Sociedad,LaLiga,8,6,1,-,-,-,,,648'
Alfonso Espino,#22,Left-Back,Cádiz CF,LaLiga,10,2,-,2,-,-,,,900'
Marko Dmitrovic,#1,Goalkeeper,Sevilla FC,LaLiga,2,-,,-,-,-,3,1,180'
Luka Modric,#10,Central Midfield,Real Madrid,LaLiga,6,-,1,-,-,-,,,458'
Manu Trigueros,#14,Central Midfield,Villarreal,LaLiga,8,2,-,-,-,-,,,501'
Juan Foyth,#8,Centre-Back,Villarreal,LaLiga,8,-,-,1,1,-,,,683'
Dani Parejo,#5,Central Midfield,Villarreal,LaLiga,6,-,-,-,-,-,,,484'
Sergio Asenjo,#1,Goalkeeper,Villarreal,UEFA Super Cup,1,-,,-,-,-,1,-,120'
Aïssa Mandi,#22,Centre-Back,Villarreal,LaLiga,6,-,-,1,-,-,,,540'
Álex Petxa,#2,Right-Back,Athletic,LaLiga,-,-,-,-,-,-,,,-
Mario Gaspar,#2,Right-Back,Villarreal,LaLiga,3,-,-,-,-,-,,,104'
Arnaut Danjuma,#15,Left Winger,Villarreal,LaLiga,8,4,1,-,-,-,,,515'
Lucas Vázquez,#17,Right Winger,Real Madrid,LaLiga,7,1,-,-,-,-,,,441'
Rubén Peña,#20,Right-Back,Villarreal,LaLiga,5,-,-,1,-,-,,,51'
Vicente Iborra,#10,Central Midfield,Villarreal,LaLiga,1,-,-,-,-,-,,,-
Leandro Cabrera,#4,Centre-Back,Espanyol,LaLiga,11,1,-,2,-,-,,,990'
Francis Coquelin,#19,Defensive Midfield,Villarreal,LaLiga,9,1,1,1,-,-,,,349'
Isco,#22,Attacking Midfield,Real Madrid,LaLiga,6,1,-,-,-,-,,,166'
Nico Melamed,#21,Attacking Midfield,Espanyol,LaLiga,11,-,1,2,-,-,,,396'
David López,#15,Defensive Midfield,Espanyol,LaLiga,8,-,-,1,-,-,,,370'
Fernando Calero,#5,Centre-Back,Espanyol,LaLiga,1,-,-,-,-,-,,,45'
Óscar Gil,#12,Right-Back,Espanyol,LaLiga,9,-,-,3,-,-,,,757'
Aleix Vidal,#22,Right-Back,Espanyol,LaLiga,7,2,-,1,-,-,,,430'
Moi Gómez,#23,Left Winger,Villarreal,LaLiga,7,-,1,2,-,-,,,308'
Keidi Bare,#20,Central Midfield,Espanyol,LaLiga,7,-,1,1,-,-,,,373'
Fran Mérida,#8,Central Midfield,Espanyol,LaLiga,4,-,-,-,-,-,,,140'
Miguelón,#2,Right-Back,Espanyol,LaLiga,-,-,-,-,-,-,,,-
Lei Wu,#7,Left Winger,Espanyol,LaLiga,8,-,-,-,-,-,,,266'
Aritz Elustondo,#6,Centre-Back,Real Sociedad,LaLiga,10,2,1,2,-,-,,,801'
Adnan Januzaj,#11,Right Winger,Real Sociedad,LaLiga,10,-,-,1,-,-,,,309'
Andoni Gorosabel,#18,Right-Back,Real Sociedad,LaLiga,9,-,1,2,-,-,,,670'
Ander Barrenetxea,#22,Left Winger,Real Sociedad,LaLiga,4,1,1,-,-,-,,,241'
Ander Guevara,#16,Central Midfield,Real Sociedad,LaLiga,7,-,-,-,-,-,,,337'
Asier Illarramendi,#4,Defensive Midfield,Real Sociedad,LaLiga,-,-,-,-,-,-,,,-
Carlos Fernández,#9,Centre-Forward,Real Sociedad,,,,,,,,,,
Aihen Muñoz,#12,Left-Back,Real Sociedad,LaLiga,9,-,-,2,1,-,,,747'
David Silva,#21,Attacking Midfield,Real Sociedad,LaLiga,5,-,1,-,-,-,,,346'
Héctor Bellerín,#19,Right-Back,Real Betis,LaLiga,6,-,1,-,-,-,,,540'
Guido Rodríguez,#21,Defensive Midfield,Real Betis,LaLiga,8,-,2,1,-,-,,,630'
Mathew Ryan,#13,Goalkeeper,Real Sociedad,LaLiga,1,-,,-,-,-,2,-,90'
Sergio Canales,#10,Attacking Midfield,Real Betis,LaLiga,9,1,2,1,-,-,,,631'
Willian José,#12,Centre-Forward,Real Betis,LaLiga,7,5,-,-,-,-,,,429'
William Carvalho,#14,Defensive Midfield,Real Betis,LaLiga,8,-,1,1,-,-,,,418'
Gerónimo Rulli,#13,Goalkeeper,Villarreal,LaLiga,8,-,,1,-,-,6,5,720'
Marc Bartra,#5,Centre-Back,Real Betis,LaLiga,3,-,-,-,-,-,,,194'
Borja Iglesias,#9,Centre-Forward,Real Betis,LaLiga,10,1,-,1,-,-,,,371'
Diego Lainez,#20,Left Winger,Real Betis,Europa League,1,-,-,-,-,-,,,44'
Rui Silva,#13,Goalkeeper,Real Betis,LaLiga,6,-,,1,-,-,6,1,540'
Iza Carcelén,#20,Right-Back,Cádiz CF,LaLiga,9,-,-,-,-,-,,,678'
Florin Andone,#17,Centre-Forward,Cádiz CF,LaLiga,2,-,-,-,-,-,,,89'
Tomás Alarcón,#12,Defensive Midfield,Cádiz CF,LaLiga,10,-,1,4,-,-,,,774'
Alexander Sörloth,#23,Centre-Forward,Real Sociedad,LaLiga,6,1,-,-,-,-,,,283'
Juan Cala,#16,Centre-Back,Cádiz CF,LaLiga,4,-,-,1,1,-,,,229'
Alberto Perea,#10,Left Winger,Cádiz CF,LaLiga,7,-,-,1,-,-,,,286'
Iván Alejo,#14,Right Winger,Cádiz CF,LaLiga,1,-,-,1,-,-,,,30'
Varazdat Haroyan,#5,Centre-Back,Cádiz CF,LaLiga,9,1,-,4,-,-,,,756'
David Gil,#13,Goalkeeper,Cádiz CF,LaLiga,-,-,,-,-,-,-,-,-
Carlos Akapo,#15,Right-Back,Cádiz CF,LaLiga,5,-,-,1,-,-,,,358'
Jon Ander Garrido,,Defensive Midfield,Cádiz CF,,,,,,,,,,
Nacho Fernández,#6,Centre-Back,Real Madrid,LaLiga,7,1,-,3,-,-,,,620'
Mariano Díaz,#24,Centre-Forward,Real Madrid,Champions League,-,-,-,-,-,-,,,-
Marcelo,#12,Left-Back,Real Madrid,Champions League,1,-,-,-,-,-,,,21'
Jesús Vallejo,#5,Centre-Back,Real Madrid,Champions League,1,-,-,-,-,-,,,3'
Álvaro Negredo,#18,Centre-Forward,Cádiz CF,LaLiga,10,1,-,1,-,-,,,512'
Andriy Lunin,#13,Goalkeeper,Real Madrid,Champions League,-,-,,-,-,-,-,-,-
Miguel Gutiérrez,#35,Left-Back,Real Madrid,LaLiga,3,-,1,1,-,-,,,261'
Raúl Albiol,#3,Centre-Back,Villarreal,LaLiga,6,-,-,1,-,-,,,540'
Étienne Capoue,#6,Defensive Midfield,Villarreal,LaLiga,9,-,-,4,-,-,,,744'
Dani Raba,#17,Right Winger,Villarreal,LaLiga,3,-,-,-,-,-,,,61'
Dídac Vilà,#17,Left-Back,Espanyol,LaLiga,3,-,-,-,-,-,,,143'
Álvaro Vadillo,#19,Left Winger,Espanyol,LaLiga,3,-,-,1,-,-,,,4'
Diego López,#13,Goalkeeper,Espanyol,LaLiga,11,-,,1,-,-,11,4,990'
Nabil Fekir,#8,Attacking Midfield,Real Betis,LaLiga,10,1,1,4,-,-,,,866'
Oier Olazábal,#1,Goalkeeper,Espanyol,LaLiga,-,-,,-,-,-,-,-,-
Marcos Mauro,#4,Centre-Back,Cádiz CF,LaLiga,1,-,-,-,-,-,,,90'
Enis Bardhi,#10,Attacking Midfield,Levante,LaLiga,4,-,-,-,-,-,,,147'
Jorge de Frutos,#18,Right Winger,Levante,LaLiga,8,-,2,1,-,-,,,531'
Roger Martí,#9,Centre-Forward,Levante,LaLiga,8,2,-,2,-,-,,,579'
Rúben Vezo,#14,Centre-Back,Levante,LaLiga,8,-,-,1,-,-,,,634'
Aitor Fernández,#1,Goalkeeper,Levante,LaLiga,7,-,,-,-,1,14,1,627'
Dani Ceballos,#19,Central Midfield,Real Madrid,,,,,,,,,,
Mickaël Malsa,#12,Defensive Midfield,Levante,LaLiga,5,-,-,2,-,-,,,189'
Gonzalo Melero,#22,Central Midfield,Levante,LaLiga,9,1,2,3,-,-,,,655'
Carlos Clerc,#19,Left-Back,Levante,LaLiga,9,-,-,4,-,-,,,748'
Shkodran Mustafi,#13,Centre-Back,Levante,LaLiga,6,-,-,-,-,-,,,302'
Nemanja Radoja,#5,Defensive Midfield,Levante,LaLiga,7,-,-,-,-,-,,,449'
